ARO_accession	Name	Lineage	Drug_name	PubChem_ID	Protein_accession	DNA_accession	Organism	Tax_ID
ARO:3002570	AAC(6')-Iz	ARO:3002570=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	AAD52985.1	AF140221	Stenotrophomonas maltophilia	40324
ARO:3002570	AAC(6')-Iz	ARO:3002570=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	AAD52985.1	AF140221	Stenotrophomonas maltophilia	40324
ARO:3002570	AAC(6')-Iz	ARO:3002570=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	AAD52985.1	AF140221	Stenotrophomonas maltophilia	40324
ARO:3002570	AAC(6')-Iz	ARO:3002570=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	AAD52985.1	AF140221	Stenotrophomonas maltophilia	40324
ARO:3002570	AAC(6')-Iz	ARO:3002570=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	AAD52985.1	AF140221	Stenotrophomonas maltophilia	40324
ARO:3002570	AAC(6')-Iz	ARO:3002570=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	AAD52985.1	AF140221	Stenotrophomonas maltophilia	40324
ARO:3002570	AAC(6')-Iz	ARO:3002570=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	AAD52985.1	AF140221	Stenotrophomonas maltophilia	40324
ARO:3002570	AAC(6')-Iz	ARO:3002570=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	AAD52985.1	AF140221	Stenotrophomonas maltophilia	40324
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002569	AAC(6')-Iy	ARO:3002569=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	AAF03531.1	AF144880	Salmonella enterica subsp. enterica serovar Enteritidis	149539
ARO:3002925	vanRF	ARO:3002925=ARO:3000574=ARO:3002905@ARO:0000028#ARO:0000028	vancomycin	44263901	AAR84672.1	AF155139	Paenibacillus popilliae ATCC 14706	1212764
ARO:3002936	vanSF	ARO:3002936=ARO:3000071=ARO:3002905@ARO:0000028#ARO:0000028	vancomycin	44263901	AAR84673.1	AF155139	Paenibacillus popilliae ATCC 14706	1212764
ARO:3002602	aadA2	ARO:3002602@ARO:0000039#ARO:0000039	spectinomycin	15541	AAF27727.1	AF156486	Klebsiella pneumoniae	573
ARO:3002602	aadA2	ARO:3002602@ARO:0000040#ARO:0000040	streptomycin	19649	AAF27727.1	AF156486	Klebsiella pneumoniae	573
ARO:3002694	cmlA4	ARO:3002694@ARO:3000385#ARO:3000385	chloramphenicol	5959	AAF27726.1	AF156486	Klebsiella pneumoniae	573
ARO:3002922	vanRC	ARO:3002922=ARO:3000574=ARO:3002905@ARO:0000028#ARO:0000028	vancomycin	44263901	AAF86641.1	AF162694	Enterococcus gallinarum	1353
ARO:3002933	vanSC	ARO:3002933=ARO:3000071=ARO:3002905@ARO:0000028#ARO:0000028	vancomycin	44263901	AAF86642.1	AF162694	Enterococcus gallinarum	1353
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3002596	AAC(6')-IIc	ARO:3002596=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	AAD46626.1	AF162771	Pseudomonas aeruginosa	287
ARO:3003744	vatF	ARO:3003744=ARO:3000453@ARO:3000669#ARO:3000669	pristinamycin IIA	46936184	AAF63432	AF170730	Yersinia enterocolitica	630
ARO:3003744	vatF	ARO:3003744=ARO:3000453@ARO:3000672#ARO:3000672	madumycin II	6441077	AAF63432	AF170730	Yersinia enterocolitica	630
ARO:3003744	vatF	ARO:3003744=ARO:3000453@ARO:3000673#ARO:3000673	griseoviridin	6441064	AAF63432	AF170730	Yersinia enterocolitica	630
ARO:3003744	vatF	ARO:3003744=ARO:3000453@ARO:3000674#ARO:3000674	dalfopristin	6435782	AAF63432	AF170730	Yersinia enterocolitica	630
ARO:3002522	novA	ARO:3002522@ARO:3000111#ARO:3000111	novobiocin	9346	AAF67494.2	AF170880	Streptomyces niveus	193462
ARO:3003014	dfrA16	ARO:3003014@ARO:3000188#ARO:3000188	trimethoprim	5578	AAK60186.1	AF174129	Escherichia coli	562
ARO:3002682	catD	ARO:3002682@ARO:3000382#ARO:3000382	azidamfenicol	62858	AAF66228.1	AF226276.1	Clostridioides difficile	1496
ARO:3002682	catD	ARO:3002682@ARO:3000385#ARO:3000385	chloramphenicol	5959	AAF66228.1	AF226276.1	Clostridioides difficile	1496
ARO:3002682	catD	ARO:3002682@ARO:3000456#ARO:3000456	thiamphenicol	27200	AAF66228.1	AF226276.1	Clostridioides difficile	1496
ARO:3002705	floR	ARO:3002705@ARO:3000385#ARO:3000385	chloramphenicol	5959	AAG16656.1	AF231986	Escherichia coli	562
ARO:3002705	floR	ARO:3002705@ARO:3000461#ARO:3000461	florfenicol	114811	AAG16656.1	AF231986	Escherichia coli	562
ARO:3003318	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	ARO:3003318@ARO:3000111#ARO:3000111	novobiocin	9346	AAO47226.2	AF235050.4	Streptomyces rishiriensis	68264
ARO:3003318	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	ARO:3003318@ARO:3000132#ARO:3000132	clorobiocin	73622	AAO47226.2	AF235050.4	Streptomyces rishiriensis	68264
ARO:3003318	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	ARO:3003318@ARO:3000150#ARO:3000150	coumermycin A1	11788085	AAO47226.2	AF235050.4	Streptomyces rishiriensis	68264
ARO:3000375	ErmB	ARO:3000375@ARO:0000006#ARO:0000006	erythromycin	12560	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:0000027#ARO:0000027	roxithromycin	5480431	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:0000046#ARO:0000046	lincomycin	9063	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:0000057#ARO:0000057	telithromycin	3002190	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:0000065#ARO:0000065	clarithromycin	84029	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:0000066#ARO:0000066	clindamycin	29029	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000145#ARO:3000145	tylosin	5280440	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000156#ARO:3000156	spiramycin	5289394	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000158#ARO:3000158	azithromycin	447043	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000176#ARO:3000176	dirithromycin	6473883	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000583#ARO:3000583	pristinamycin IA	14974	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000584#ARO:3000584	quinupristin	5388937	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000669#ARO:3000669	pristinamycin IIA	46936184	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000672#ARO:3000672	madumycin II	6441077	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000673#ARO:3000673	griseoviridin	6441064	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000674#ARO:3000674	dalfopristin	6435782	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000675#ARO:3000675	pristinamycin IB	443309	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000678#ARO:3000678	vernamycin B-gamma	443310	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3000375	ErmB	ARO:3000375@ARO:3000867#ARO:3000867	oleandomycin	19822	AAF86219.1	AF242872	Enterococcus faecium	1352
ARO:3002844	vatE	ARO:3002844=ARO:3000453@ARO:3000669#ARO:3000669	pristinamycin IIA	46936184	AAF86220.1	AF242872	Enterococcus faecium	1352
ARO:3002844	vatE	ARO:3002844=ARO:3000453@ARO:3000672#ARO:3000672	madumycin II	6441077	AAF86220.1	AF242872	Enterococcus faecium	1352
ARO:3002844	vatE	ARO:3002844=ARO:3000453@ARO:3000673#ARO:3000673	griseoviridin	6441064	AAF86220.1	AF242872	Enterococcus faecium	1352
ARO:3002844	vatE	ARO:3002844=ARO:3000453@ARO:3000674#ARO:3000674	dalfopristin	6435782	AAF86220.1	AF242872	Enterococcus faecium	1352
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002583	AAC(6')-29a	ARO:3002583=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	AAK26252.2	AF263519	Pseudomonas aeruginosa	287
ARO:3002696	cmlA6	ARO:3002696@ARO:3000385#ARO:3000385	chloramphenicol	5959	AAK52606.1	AF294653	Pseudomonas aeruginosa	287
ARO:3002639	APH(3'')-Ib	ARO:3002639@ARO:0000040#ARO:0000040	streptomycin	19649	ABK33456.1	AF313472	Pseudomonas aeruginosa	287
ARO:3000604	Erm(35)	ARO:3000604@ARO:0000006#ARO:0000006	erythromycin	12560	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:0000027#ARO:0000027	roxithromycin	5480431	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:0000046#ARO:0000046	lincomycin	9063	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:0000057#ARO:0000057	telithromycin	3002190	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:0000065#ARO:0000065	clarithromycin	84029	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:0000066#ARO:0000066	clindamycin	29029	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000145#ARO:3000145	tylosin	5280440	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000156#ARO:3000156	spiramycin	5289394	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000158#ARO:3000158	azithromycin	447043	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000176#ARO:3000176	dirithromycin	6473883	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000583#ARO:3000583	pristinamycin IA	14974	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000584#ARO:3000584	quinupristin	5388937	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000669#ARO:3000669	pristinamycin IIA	46936184	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000672#ARO:3000672	madumycin II	6441077	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000673#ARO:3000673	griseoviridin	6441064	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000674#ARO:3000674	dalfopristin	6435782	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000675#ARO:3000675	pristinamycin IB	443309	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000678#ARO:3000678	vernamycin B-gamma	443310	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3000604	Erm(35)	ARO:3000604@ARO:3000867#ARO:3000867	oleandomycin	19822	AAK07612.1	AF319779	Bacteroides coprosuis DSM 18011	679937
ARO:3002670	cat	ARO:3002670@ARO:3000382#ARO:3000382	azidamfenicol	62858	AAL08441.1	AF326777	Shigella flexneri 2a	42897
ARO:3002670	cat	ARO:3002670@ARO:3000385#ARO:3000385	chloramphenicol	5959	AAL08441.1	AF326777	Shigella flexneri 2a	42897
ARO:3002670	cat	ARO:3002670@ARO:3000456#ARO:3000456	thiamphenicol	27200	AAL08441.1	AF326777	Shigella flexneri 2a	42897
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002559	AAC(6')-Ip	ARO:3002559=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	AAK63041.1	AF337947	Escherichia coli	562
ARO:3002635	APH(2'')-IIa	ARO:3002635=ARO:3000128@ARO:0000013#ARO:0000013	amikacin	37768	AAK63040.1	AF337947	Escherichia coli	562
ARO:3002635	APH(2'')-IIa	ARO:3002635=ARO:3000128@ARO:0000035#ARO:0000035	sisomicin	36119	AAK63040.1	AF337947	Escherichia coli	562
ARO:3002635	APH(2'')-IIa	ARO:3002635=ARO:3000128@ARO:0000038#ARO:0000038	netilmicin	41859	AAK63040.1	AF337947	Escherichia coli	562
ARO:3002635	APH(2'')-IIa	ARO:3002635=ARO:3000128@ARO:0000049#ARO:0000049	kanamycin A	6032	AAK63040.1	AF337947	Escherichia coli	562
ARO:3002635	APH(2'')-IIa	ARO:3002635=ARO:3000128@ARO:0000052#ARO:0000052	tobramycin	36294	AAK63040.1	AF337947	Escherichia coli	562
ARO:3002635	APH(2'')-IIa	ARO:3002635=ARO:3000128@ARO:3000652#ARO:3000652	isepamicin	3755	AAK63040.1	AF337947	Escherichia coli	562
ARO:3002635	APH(2'')-IIa	ARO:3002635=ARO:3000128@ARO:3000654#ARO:3000654	arbekacin	68682	AAK63040.1	AF337947	Escherichia coli	562
ARO:3002635	APH(2'')-IIa	ARO:3002635=ARO:3000128@ARO:3000655#ARO:3000655	gentamicin B	37569	AAK63040.1	AF337947	Escherichia coli	562
ARO:3000481	tet(35)	ARO:3000481@ARO:0000051#ARO:0000051	tetracycline	5497101	AAK37619.1	AF353562	Vibrio harveyi	669
ARO:3002600	AAC(3)-Ib/AAC(6')-Ib''	ARO:3002600@ARO:0000049#ARO:0000049	kanamycin A	6032	AAL82588.1	AF355189	Pseudomonas aeruginosa	287
ARO:3002600	AAC(3)-Ib/AAC(6')-Ib''	ARO:3002600@ARO:0000052#ARO:0000052	tobramycin	36294	AAL82588.1	AF355189	Pseudomonas aeruginosa	287
ARO:3002843	vatD	ARO:3002843=ARO:3000453@ARO:3000669#ARO:3000669	pristinamycin IIA	46936184	AAK84316.1	AF368302	Enterococcus faecium	1352
ARO:3002843	vatD	ARO:3002843=ARO:3000453@ARO:3000672#ARO:3000672	madumycin II	6441077	AAK84316.1	AF368302	Enterococcus faecium	1352
ARO:3002843	vatD	ARO:3002843=ARO:3000453@ARO:3000673#ARO:3000673	griseoviridin	6441064	AAK84316.1	AF368302	Enterococcus faecium	1352
ARO:3002843	vatD	ARO:3002843=ARO:3000453@ARO:3000674#ARO:3000674	dalfopristin	6435782	AAK84316.1	AF368302	Enterococcus faecium	1352
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002577	AAC(6')-Ib4	ARO:3002577=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	AAL38577.1	AF445082	Acinetobacter baumannii	470
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:0000005#ARO:0000005	neomycin	8378	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:0000007#ARO:0000007	dibekacin	3021	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:0000013#ARO:0000013	amikacin	37768	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:0000035#ARO:0000035	sisomicin	36119	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:0000038#ARO:0000038	netilmicin	41859	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:0000049#ARO:0000049	kanamycin A	6032	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:0000052#ARO:0000052	tobramycin	36294	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:3000652#ARO:3000652	isepamicin	3755	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:3000654#ARO:3000654	arbekacin	68682	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	ARO:3002598=ARO:3000345@ARO:3000655#ARO:3000655	gentamicin B	37569	AAL51021.2	AF453998	Serratia marcescens	615
ARO:3002693	cmlA1	ARO:3002693@ARO:3000385#ARO:3000385	chloramphenicol	5959	AAO15535.1	AF458080	Klebsiella pneumoniae	573
ARO:3002681	catB9	ARO:3002681@ARO:3000382#ARO:3000382	azidamfenicol	62858	AAL68645.1	AF462019	Vibrio cholerae	666
ARO:3002681	catB9	ARO:3002681@ARO:3000385#ARO:3000385	chloramphenicol	5959	AAL68645.1	AF462019	Vibrio cholerae	666
ARO:3002681	catB9	ARO:3002681@ARO:3000456#ARO:3000456	thiamphenicol	27200	AAL68645.1	AF462019	Vibrio cholerae	666
ARO:3000605	Erm(36)	ARO:3000605@ARO:0000006#ARO:0000006	erythromycin	12560	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:0000027#ARO:0000027	roxithromycin	5480431	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:0000046#ARO:0000046	lincomycin	9063	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:0000057#ARO:0000057	telithromycin	3002190	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:0000065#ARO:0000065	clarithromycin	84029	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:0000066#ARO:0000066	clindamycin	29029	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:3000145#ARO:3000145	tylosin	5280440	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:3000156#ARO:3000156	spiramycin	5289394	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:3000158#ARO:3000158	azithromycin	447043	AAL68827.1	AF462611	Micrococcus luteus	1270
ARO:3000605	Erm(36)	ARO:3000605@ARO:3000176#ARO:3000176	dirithromycin	6473883	AAL68827.1	AF462611	Micrococcus luteus	1270
